,Date,User,Tweet
40,2015-04-29 09:53:28+00:00,MITHA_KAM,"koi is idiot ko bolo dat #MakeInIndia is a Campaign still at its infancy, wher is d Q of anyone's contribution till date,Kya #sample hai yeh"
41,2015-04-29 09:52:18+00:00,Kaalateetham,"#Pappu likes only phoren mal like his girl friends
So opposing #MakeInIndia #RGCornersGovt
@Beingamby @Sa82020831 @ksmsundaram1975 @DrJwalaG"
42,2015-04-29 09:50:31+00:00,Kaalateetham,"#Pappu likes only Made InChina no wonder he goes around opposing #MakeInIndia #RGCornersGovt 
@narendramodi bhai @AmitShahOffice @bjpsamvad"
43,2015-04-29 09:44:37+00:00,agrrahul7,#RahulGandhi accuses NDA govt for ignoring farmers' contribution to #MakeInIndia
44,2015-04-29 09:43:30+00:00,khan_mubin,BARC India ratings out. #MakeInIndia. @punit_goenka @parthodasgupta @paritoshZero @romilramgarhia @BARCIndia
45,2015-04-29 09:39:29+00:00,aniketnd,Fake in India is talking about #MakeInIndia  #RahulTatkalPolitics
46,2015-04-29 09:32:15+00:00,Als0kn0wnAs,It is Indian farmer who contributes to #MakeInIndia and no one shall dare to set an eye on his land #RGCornersGovt
47,2015-04-29 09:30:24+00:00,gokulchan,The day Modi announces that he will wear or use only made in india products then that day wud be a start for #MakeInIndia
48,2015-04-29 09:30:18+00:00,_shriraj,"Rahul Gandhi has no moral right to comment on Make in India
Bcoz #MakeInIndia mission's main aim is to help Modi's Corporate Friends."
49,2015-04-29 09:21:30+00:00,cool_only,#MakeInIndia is an initiative that would completely finish congress politics in India...enough reason for them to oppose it
50,2015-04-29 09:19:55+00:00,Sthitapragyan,"""Women empowerment=""Anti farmer govt."" courtesy #MakeInIndia RaGa ;)"
51,2015-04-29 09:18:42+00:00,americai,Is the work done by poor not #MakeInIndia ? Is it something else? Rahul asked
52,2015-04-29 09:16:05+00:00,lust4lifeswaps,"So after Women Empowerment, RTI and Suit Boot ki Sarkaar, new words uttered by Rahul Baba are 'Crony Capitalists' #MakeinIndia"
53,2015-04-29 09:11:11+00:00,pradeep2717,industries for showing great interest in #makeinindia through #MakeInMaha . Thanks to Chairman of Sun Pharma Mr Israel Makov for showing
54,2015-04-29 09:07:10+00:00,ashiskar02,#RGCornersGovt Mr. Rahul ! More you corner govt for #MakeInIndia more you ll loose votes of the youth needing employment...
55,2015-04-29 08:59:59+00:00,colonelsharotri,While criticzng #MakeInIndia this #pappu sala of #damad420 thinks farmers too r retard like hm. Visit Amethi first .....
56,2015-04-29 08:57:45+00:00,satishdmore,What do u call a guy who holidays in BKK for 2mths only to return 4 drama as Farmer's messiah? #FakeInIndia #RaGa @BJP4India #MakeInIndia
57,2015-04-29 08:57:26+00:00,nishith_gupta,"Looks like RAGA did a 10 day workshop on how to give sensational quotes. I hope he did one to learn about economy, culture etc #MakeInIndia"
58,2015-04-29 08:54:20+00:00,rajput_singhji,"Union Cabinet clears the 100 Smart City projects.
India's existing urban centres can take a sigh of relief now. #MakeInIndia #smartcity"
59,2015-04-29 08:51:31+00:00,aimaindia,"If we could build the cheapest phone in India, we can also make the cheapest smartphone in India. Let's #MakeInIndia @richardrekhy #AIMANLC"
60,2015-04-29 08:50:19+00:00,rajendrarao66,Dynasty needs India to be bhooka and nanga for its survival.Pappu please go back on an another vacation.#makeinindia
61,2015-04-29 08:49:32+00:00,Ramesh54363564,"This age is the age of factory, industry, etc and #MakeInIndia and #narendramodi is that also for modern farming... LIKE IN AUSTRALIA...."
62,2015-04-29 08:48:26+00:00,Shilpamehta100,RG doesn't support #MakeInIndia Coz they believe in rulling poor people and they must stay poor so this idiot can scam and pocket money2jija
63,2015-04-29 08:47:43+00:00,rajendrarao66,What did mom's and dad's govt did to farmers?.congress scared that #makeinindia would erode their vote bank.
64,2015-04-29 08:46:07+00:00,TheLokeshNagori,#RahulTatkalPolitics beforr talk any thing regarding #makeInIndia  &amp; @narendramodi just  u go ur cunsltancy and try to remove their problem
65,2015-04-29 08:38:20+00:00,Supreetahuja,"Today's Crony Capitalists are ABC, XYZ, $$$ and Wadra use to be one during congress regime...#BJP #MakeInIndia"
66,2015-04-29 08:36:10+00:00,NationFirst4u,Those Who feel #Pappu Conered the GOVT are Dickheads..#MakeInIndia
67,2015-04-29 08:30:06+00:00,makeinindia,Vision 2022: setting up of Electrical Equipment Skill Development Council + #electricalmachinery equipment industry clusters #MakeInIndia
68,2015-04-29 08:29:12+00:00,Ding_Donng,"#MakeInIndia, the policy is on since 1947 when we were around 36 crore to now 127 crore."
