,Date,User,Tweet
41,2015-03-25 06:15:48+00:00,shrikantkrshna9,"""@Kailashkher: Sharing the first video of #KyaKisikoPadiHai shortly! Sab taiyyar? #SwachhBharat @PMOIndia @narendramodi"" Yo.. da swachh rap!"
42,2015-03-25 06:00:05+00:00,sang1983,TN looking at funds from centre for #SwachhBharat scheme!!!! Huff cant you guys clear your own backyards????
43,2015-03-25 05:45:24+00:00,HoeZaay,READY ! RT @Kailashkher Sharing the first video of #KyaKisikoPadiHai shortly! Sab taiyyar? #SwachhBharat @PMOIndia @narendramodi
44,2015-03-25 05:35:09+00:00,iyers77,With all eyes open. RT @Kailashkher Sharing the first video of #KyaKisikoPadiHai shortly! Sab taiyyar? #SwachhBharat @PMOIndia @narendramodi
45,2015-03-25 05:32:17+00:00,Kailashkher,Sharing the first video of #KyaKisikoPadiHai shortly! Sab taiyyar? #SwachhBharat @PMOIndia @narendramodi
46,2015-03-25 03:49:45+00:00,iyers77,Good morning all. Looking forward to the #KyaKisiKoPadiHai campaign. @Kailashkher @HoeZaay you guys are awesome &amp; insane. #SwachhBharat
47,2015-03-25 01:27:12+00:00,_lonewolf9,"Kailash kher is busy with #swachhbharat, dream of @narendramodi  and his wife is great AAPTard, #justsaying 😉"
48,2015-03-24 19:57:30+00:00,vidyarokz,Tnx @narendramodi  central govt offices are clean why state govt are not? #SwachhBharat  Who will direct them to clean there offices atlst.
49,2015-03-24 18:19:34+00:00,gemsofnewss,"Cleaned Inbox today! Trust me, it feels great!
.
Spammer are  &amp; will keep spamming, its my god damn job to Clean it

#Inbox
#SwachhBharat"
50,2015-03-24 17:05:17+00:00,akshaysharma_as,"IF 40% OF #SwachhBharat  MISSION IS TO B ACHEIVED IMMEDIATELY  ... CIGARETTE, TABACO AND ALCOHOL SHOULD BE BANNED..@PMOIndia  @narendramodi"
51,2015-03-24 15:45:05+00:00,theind_india,"#Maharashtra Govt to implement #SwachhMaharashtra all across Maharashtra, in Mission Mode,on the lines of #SwachhBharat: @Dev_Fadnavis"
52,2015-03-24 15:41:04+00:00,chandu532,"Maharashtra Government decides to implement #SwachhMaharashtra all across Maharashtra, in Mission Mode, on the lines of #SwachhBharat . #Jo…"
53,2015-03-24 15:20:48+00:00,Dev_Fadnavis,"Maharashtra Government decides to implement #SwachhMaharashtra all across Maharashtra, in Mission Mode, on the lines of #SwachhBharat ."
54,2015-03-24 15:02:33+00:00,SonamTillani,#Reminder : Those Who Have Been Nominated By @BeingSalmanKhan Please Send Your #SwachhBharat Pictures/Videos By Today! :P #LastDay
55,2015-03-24 14:33:09+00:00,ashishpoddar13,Rajdhani catering staff throws all the garbage out of the running trains.  Where is #swachhbharat?  @sureshpprabhu  #Indianrailways
56,2015-03-24 10:28:33+00:00,ianuragthakur,"We've pledged 100 days for #SwachhBharat, can we pledge 10 days for creating awareness towards fight against TB? @NationalForumTB @GHS"
57,2015-03-23 20:30:50+00:00,rahulkaulvakil,Each household must clean their own home to value cleanliness #SwachhBharat
58,2015-03-23 19:26:07+00:00,JapanBhatt,"Never devalue anything, even an empty cigarette packet is worth a joint. Never waste, get wasted ! #SwachhBharat"
59,2015-03-23 17:41:32+00:00,SonamTillani,#Reminder : For Those Who Have Been Nominated By @BeingSalmanKhan and Haven't Done #SwachhBharat Please Do It By Tomorrow. It's NOT CONTEST.
60,2015-03-23 17:00:25+00:00,nikhilpec,India should have strict punishments like #Singapore for people who spread dirt.#SwachBharatAbhiyan #SwachhBharat #LeeKuanYew #RIPLeeKuanYew
61,2015-03-23 15:01:06+00:00,SankalpForum,"Sanitation to a key element in #SwachhBharat. In partnership with @WorldBank, hear Sadhvi Bhagwati talk about that at #SFGlobal."
62,2015-03-23 13:48:14+00:00,MyOpeningBell,#IndiaInc gifts Rs 1000 crore to PM @narendramodi's #SwachhBharat project.
63,2015-03-23 12:03:07+00:00,ImARajeev,"Sri @narendramodi , what's the use of #SwachhBharat campaign when ur own backyard is being littered, visited indiagate yesterday,"
64,2015-03-23 11:45:34+00:00,nitin_nitingarg,#IndiaInc gifts Rs 1000 crore to PM Narendra #Modi's #SwachhBharat project
65,2015-03-23 11:29:14+00:00,umakantsingh_IN,"It should be not the #SwachhBharat  experiment even India Inc given 1000cr! One thing that doesn't require ""hype"" is #CleanIndia !"
66,2015-03-23 11:23:50+00:00,umakantsingh_IN,"#SwachhBharat shouldn't be a #slogan,it must be #action job, public will participate but it has 2be in""daily""routine job of governments!"
67,2015-03-23 10:27:17+00:00,agrrahul7,"In 2019, when we mark Mahatma Gandhi's 150th birth anniversary, let us fulfil the dream of a #SwachhBharat: #PM"
68,2015-03-23 10:26:53+00:00,HumanFirst2013,Th@PMOIndia @narendramodi the 1st chapter of 'nitya karma puja Prakash' a Hindu book is dedicated to personal &amp; social hygiene #SwachhBharat
69,2015-03-23 10:19:48+00:00,thetribunechd,"In 2019, when we mark Mahatma Gandhi's 150th birth anniversary, let us fulfil the dream of a #SwachhBharat : PM @narendramodi"
70,2015-03-23 08:41:52+00:00,rangeenbaaz,"Better !!!
its a powerful word,idea,imagination &amp; innovation 
for a good and ideal INDIA.
#SwachhBharat @narendramodi"
71,2015-03-23 07:17:56+00:00,kishore_pranav,Previous tweet #antiterrorism #SwachhBharat
