,Date,User,Tweet
26,2020-06-08 05:37:21+00:00,thehomegirlari,"yo the #NRC app played my life. 

on may 30 i finished at 50.05 miles. when i logged my jog today &amp; was looking at my past achievements tell me why it had 48.98 miles for my May 50 mile challenge. @nike this isn’t cool."
27,2020-06-08 00:06:10+00:00,DocRegie,Loving the guided runs from #NRC. Makes you pass the time quickly and not mind the fatigue.
28,2020-06-07 21:09:39+00:00,neelster,I am sure all the BJP followers should be calling ppl in USA as Anti-National. How can they support such actions. Check the sit down at Newyork Broadway.. I am tell u these liberals and communists  are so bad how can they do this.😂😂😂 #Hypocrisy #caa #nrc
29,2020-06-07 19:34:15+00:00,WrldLeadrBharat,"Who the fuck are you...
And what the fuck do you know about #CAA #ZuckerbergVsKapil"
30,2020-06-07 18:20:54+00:00,DasKahani,"I live in a country where it is not possible to do 135 crore covid-19 tests but it is possible to do 135 crore #NRC ...
😊😊😊😊😊😊"
31,2020-06-07 17:56:06+00:00,ShaHaInd,"He stood against injustice called #CAA
He has been arrested by #UPPolice
Demand #ReleaseMuftiShahzad
#TWITTERSTORM now"
32,2020-06-07 17:07:28+00:00,farhanshakil015,"When students of JNU,AMU and Jamia were protesting against #CAA and brutality of police,andhbhakts called them illiterate and blamed that they are gathered to get free biryani.
Now what will andhbhakts call them who are protesting against brutality of police with  #GeorgeFloyd"
33,2020-06-07 16:48:55+00:00,MorningWalkers,"#NoMoreAnarchy Arnab said it correct, #CAA  has been passed by parliament and unless it's struck down the Supreme Court, there's no right for anyone to protest till the matter decided by the court."
34,2020-06-07 16:28:37+00:00,akhilraj_RAJA,"All those who opposes constitutionally passed laws like #CAA #TripleTalaq #AYODHYAVERDICT #AbbrogationOfArticle370 do not believe in Constitution and hence they must called #Fascist @republic @Arnabrtv01 
#JaiHind #VandeMataram #bharatmatakijai"
35,2020-06-07 15:53:00+00:00,nishtha_agg,"When you argue that #BlackLivesMattters (instead of all lives matter) is fine, then #CAA is also justifiable.
CAA it doesn’t take away rights of current minority citizens of India. 
It is to uplift minorities from certain neighboring countries who are in India.
#LiberalHypocrisy"
36,2020-06-07 14:50:49+00:00,BugleInstant,"Modi ji brought the Citizenship Amendment Act. This Act provided citizenship and respect to refugees in India: Union Home Minister &amp; BJP leader Amit Shah addressing ‘Bihar Jansamvad Rally’ through video conferencing.
#CitizenshipAmendmentAct
#NRC #IndiaThatIsBharat #Unlock1"
37,2020-06-07 14:40:19+00:00,debeshpramanik3,"The government says #corona_testing of 130 crore people is not possible.  But a few days ago it was possible for the #NRC to go home to everyone.  In fact, this government has no value in the lives of the common people of the country. #ModiBetrayedIndia"
38,2020-06-07 14:40:16+00:00,Taufiqzi,"#ReleaseAntiCAAProtesters
#AndhBhakts cant see who is #SafooraZargar.
Wikipedia clearly says she is an indian student activist and known as active  #CAA protester.
She is in jail .we demand to release her and others who are all in the jail .This is absolutely #stateviolenc"
39,2020-06-07 14:12:57+00:00,Rumoursayz,"Protesting against the  discriminatory #CAA is NOT a crime. 
#IProtestCAA
#CAAProtest"
40,2020-06-07 13:46:05+00:00,zameer_0703,"During lockdown the Govt was supposed to prepare them self to fight against corona but they were busy in placing #CAA protesters, activists and students behind bar by charging them with fake charges for Delhi riots and now corona numbers are increasing rapidly 
#ModiBetrayedIndia"
41,2020-06-07 13:39:35+00:00,JaidevJamwal,"Only 3 months back every #AAPtard, leftist and Islamist was on road protesting against #CAA.

Today Kejriwal has said that no one from outside #Delhi will be provided treatment.
But not one defender of constitution has protested. Shows you the real agenda of Hinduphobia."
42,2020-06-07 13:35:29+00:00,hamdansayedinc,"The government that has resources to test 70year old records of each Indian for #NPR/#NRC, now says it is impossible to do #COVID19  testing for same 130cr people.

#ModiBetrayedIndia"
43,2020-06-07 13:28:54+00:00,Kush_2308,"Some ppl tryng to resume their #CAA #NRC protest by covering behind and taking support of #MarkZuckerberg's #Facebook policies.
These ppl jst need smthng to scream &amp; speak agnst Govt.
They r comparing an app policy wth the policies of the state,how ignorant of them.
#CAA_NRC_NPR"
44,2020-06-07 11:01:11+00:00,AryanYashodev,"Those dancing on #Zuckerberg's statement !!!

#CAA still won't return 🌶️... @KapilMishra_IND 

😉🤣🤣"
45,2020-06-07 10:09:18+00:00,realkingofSingh,I support #CAA
46,2020-06-07 08:45:37+00:00,soumyaa_96,They say the State is your parent... quite the dysfunctional one we have right now! #coronaresponse #CAA #forgottenissues
47,2020-06-07 08:32:01+00:00,m81prabhu,"Does #Zuckerberg know, what #CAA Is all about!"
48,2020-06-07 08:03:57+00:00,pranaygovinds,"Why is Zuckerberg 's statement about @KapilMishra_IND such a big deal? He is a techie , doesn't know anything about Indian perspective of things. #Commies get your panties out of twist , #CAA  is not rolling back. Jai Hind 🇮🇳"
49,2020-06-07 07:57:32+00:00,Bhishmsharma12,"#safoorazargar @RanaAyyub U do whatever u can.
Write in Washingtonpost or wikipedia but she will only come out of prison when the law of the land allows.

Ok

🙃🙃🙃🙃.
Go and do more #CAA protest,"
50,2020-06-07 07:52:45+00:00,roshovani,"All those who think #CAA will ever be rolled back, are living in illusion and must seek psychiatric help

Jai Hind"
51,2020-06-07 07:21:27+00:00,sc0obyd0,"Reservations of OBC,SC,ST vs #citizenshipamendmentbill 
1/N

#CAA will obviously Harm Muslims but at the right time its more dangerous for Hindus of India Especially Lower caste People

How?"
52,2020-06-07 06:19:11+00:00,DJZARKIN,"~ Government of India is having money to verify 135 crore people's citizenship by applying #CAA.

But our government having NO MONEY to test #coronavirus #Covid19 for 135 crore people of India.

That's where it makes a difference between a good government and the worst one."
53,2020-06-07 05:20:49+00:00,Abhishekm12223,"It's been almost 6 months since CAA was implemented. 

Citizenships lost: 0
                 Lives lost: 53

And yet to meet someone who can convince me that CAA was discriminatory in nature.
#CAA #CAA_NRC_Protests  #safoorazargar"
54,2020-06-07 03:12:31+00:00,MdNayabZafar2,"Health mnstr says""it isn't psbl to test  all 130cr people for Covid19"" while covid19 created ""worst emergency situation"",the world hav ever seen.

But our govt says,we r cpbl of  doing #NRC nd #NPR also to give ctznshp to refugees that is #CAA

Bhakt plz Think and clear ur mind."
55,2020-06-07 01:40:48+00:00,Wh_So_Serious,"Testing of 138 crore Population Is Neither Necessary Nor Possible: Union Health Minister

Then the question arises that how NRC is possible with a population of 1.3 billion.

I thought I would ask you all!

#NRC #testing #CAA_NRC_Protests 
#JustAsking"
56,2020-06-07 00:39:49+00:00,vsonam9,"#CAA &amp; #Corona may make &amp; unmake govt in 2024. One who present the best, will win."
57,2020-06-07 00:37:04+00:00,Aslam_Baig_Mirz,"Health Minister Harsh Vardhan: it's impossible to conduct COVID-19 tests for 138 cr population.
Me: How come possible for NPR 🤔?
#NRC #CountryAgainstBJP #CitizenshipAmmendmentBill2019 #CAB2019 #coronavirus #COVID19India"
58,2020-06-06 23:40:55+00:00,king_supa_,All done. 😰🏃🏾 #NRC
59,2020-06-06 18:18:15+00:00,sunandnr,The recent arrest of a Bangladeshi National involved in terror activities from #Kerala   is 1 more reason for #NRC to be implemented.Make no mistake about it-certain sections of the govt &amp; Muslim community in the state are making a grave mistake hiding/ protecting these illegals!
60,2020-06-06 18:02:37+00:00,ankit_6eo,"We Indians should be ashamed of not starting an #antiracism movement in our country when the students were #beaten up brutally and some news channels portrayed it as an Muslim movement!
#MuslimLivesMatter #NoToRacism #discrimination #caa #nrc"
61,2020-06-06 17:22:52+00:00,nirendev1,#Aligarh #CAA National Security Act invoked against 4 people arrested in connection with violent anti-CAA protest in #Aligarh  UP in February
62,2020-06-06 17:21:48+00:00,MUHAMMEDARBAZ6,"It is not possible to test 130 crore's people health minister said.....
Then how was it possible to record #NRC 130 crore's
#COVID19Pandemic #CoronavirusIndia
#Health_Minister #AmitShah #Modi
@narendramodi @AmitShah @nsitharaman @myogiadityanath"
63,2020-06-06 17:09:37+00:00,nitinkamdar,"Sahfoora is arrested for his deeds she has done 
And now some idiots who are just to support a community or a party are asking mercy for her
Sukhar karo sirf jail mein daala hai for mein hota toh saza aur badi hoti for going against #CAA which is good for the country #pregnant"
64,2020-06-06 15:56:55+00:00,offical_amair,Every in India raising they voice #BlackLivesMattters but few months back we Muslim face the similar issue like #NRC #CCA nobody raised they voice...
65,2020-06-06 14:26:26+00:00,Shoeb_2619,"It is not possible to test 130 crore people - Harsh Vardhan Health Minister

Then how is it possible to do 130 crore people NRC?

#NRC 
#covid19indiaorg
 #HarshVardhan #FailedLockdown #pmo
#AmitShah"
66,2020-06-06 14:23:15+00:00,Hindu_anshul22,"#ArrestSwaraBhaskar  How give Job this type of people in Bollywood , they need *Azaadi* ...... Buttt we are not accept any cuttoff in #CAA it is nassessry for BHARAT"
67,2020-06-06 13:47:50+00:00,mdfarazhussain,You have no problem calling #BlackLivesMattters but you have problem when women raise voice over #CAA and you calling to arrest. @ReallySwara #support
68,2020-06-06 13:04:20+00:00,sumonseng,"#ArrestSwaraBhaskar as she had questions against the intentions of the Govt about #CAA_NRC_NPR .
She had put Constitution over ManuSmriti .
This is totally illegal in this current condition of the country where the Supreme Court is sleeping &amp; reluctant to hear pleas against #CAA."
69,2020-06-06 12:34:44+00:00,Amitguj281983,"This third class and B category actress should be asked: #CAA is law in india since about 6 months but how many indians have lost their citizenship ?? 
 #ArrestSwaraBhaskar"
70,2020-06-06 12:14:12+00:00,PriyaMi34793531,"#ArrestSwaraBhaskar 
When #RubikaLiyaquat uncovered 
@ReallySwara
 's real illiteracy on #CAA..Swara Bhaskar stoops to such a level just to do #NoticeMe stunt..shame on u #SwaraBhaskar"
71,2020-06-06 12:07:44+00:00,antiBaised,"#NRC was heavily #pregnant with twins #NRP &amp; #CAA.

Still NRC is searching for her Kid's real father. 🤣

#India #CAAProtest #carryminati #CAA_NRCPROTESTS"
72,2020-06-06 11:56:18+00:00,al_soyma,A pregnant elephant is moreimportant than a pregnant woman in this world.When they can feel the pain of that elephant and ca n create many tiktoks then why not on #SAFOORAZANGAR. What was her fault that she stood against #CAA .Why can't she get the bail? Why is she suffering ??
73,2020-06-06 11:41:19+00:00,hitlersourabh,A lady knows nothing about #CAA but she insists for riots openly. Why not #ArrestSwaraBhaskar?
74,2020-06-06 11:08:38+00:00,Vikarah08942956,Health minister it is impossible to get done test of 130 cr population...thn how can it b possible for #NRC
75,2020-06-06 10:56:32+00:00,maizafarhoon,"Bollywood celebs and Indian tv actors only matters about American peoples as they are tweeting #BlackLivesMattters . What about Indian lives ? Where you have gone at the time of protests in india against #CAA #NRC , #EveryLifeMatters #Bollywood #ReleaseSafooraZargar"
76,2020-06-06 10:32:48+00:00,ProfessorOnCL,"The 3biggest achievements of modi sarkar, as per shah is 

1. #Abrogation of article 370 - millions protesting,challenged in Supreme Court, the judgement is awaited.
2. #CAA - (same as above)
3. #Ram mandir - decided by SC, accepted by all, peacefully.

Hw thse decisions help us?"
77,2020-06-06 08:17:14+00:00,SumanSaurabh007,Each and every person who mislead people on #CAA nd incited them for #DelhiRiots2020 must be arrested nd sent to jail to rot. Set an example. These grims living in India are more dangerous than Pakistan and China as they try to divide d country internally.     #ArrestSwaraBhaskar
78,2020-06-06 07:23:13+00:00,aniketdas1186,"Agar Swara doshi paigayi toh #ArrestSwaraBhaskar 

Mujheynahi lagta Swara can shoutchant AZAADI the way she do in democracy...PROUD TO REPUBLIC N INDEPENDENT

The way media personalities should refrain from doing anti national agenda/ propaganda

#NRC #CAA #CAB #DelhiRiots2020"
79,2020-06-06 05:16:35+00:00,RafeekPasha1,"Anekta me ekta.. that's what my constitution says..

 let's unite with our faith and be United with difference.. don't get distracted ...

#CAAProtest #CAA"
80,2020-06-06 05:03:21+00:00,tk24dutta_india,At this difficult time Indians need their share from black money stacked in tax havens by the financial mafias. But PM @narendramodi is silent about return of black money. Leaving protests against #CAA for the time being Indians must demand black money. @PTI_News @ndtv @ttindia
81,2020-06-06 03:23:56+00:00,joyasian,"The constitutional amendment act came into force on January 11th 2020, almost six months ago. Not a SINGLE Indian lost their citizenship during this time. The whole premise of nationwide protests opposing #CAA  was based on a false narrative is now established.

#ShaheenBagh"
82,2020-06-06 02:04:06+00:00,BiswadipBanerj5,Hey mentally dental @ReallySwara it's been more than 6months #CAA  have been implemented. Can you plz enlighten us how many people have lost citizenship and how many have been sent to detention center? You better use your finger than your brain or shitty mouth. 🙄
83,2020-06-06 00:54:01+00:00,RafeekPasha1,"#ReleaseSafooraZargar she is innocent and fought for her Right to equality.. #CAA is against Indian Constitution..

#ISupportSecularism"
84,2020-06-06 00:42:37+00:00,BankiMistry,"#COVID19India 
After 75 days ,
And even after 100 days 
This modi government can't test 130 Cr citizen of India ,
But would implement #CAA #NRC and all sorts of atrocities to hackle citizen at a large to create anarchy violence corruption extortion rowdyism and what not ."
85,2020-06-05 22:57:44+00:00,ddonnelly11,Awesome week for the NRC team finding projects for 71 consultants! @nkindrickTEK @MandyRiffel @TEK_CMiller @jp20190 @LeslieTEKCHS @ChrisTEKATL @claphamjm @TEKdharknes @TEK_Ellen @KatherineStoc13  #NRC #StrategicDelivery
86,2020-06-05 18:45:48+00:00,SriHridayBharti,"Those do riots or provoke against Hindus in the name of #CAA #NRC &amp; #NPR should be treated as #Terrorist &amp; #Muslims have no rights to protest on it. @AmitShah Ji plz bring #NRC &amp; #NPR
Declare #Bharat #HinduRashtra

We will tackle #Traitors 

@ReallySwara @RahulGandhi @cpimspeak"
87,2020-06-05 18:42:41+00:00,abhikelaphz,"Heard that Shaheen Bagh is starting again, no problem, but this time use ""#Chhatri"".

 Note- There is no ""double meaning"" in this tweet, it is rainy season, so #Health Advisory from me 😎
#ShaheenBagh #CAAProtest #CAA #CAA_NRC_NPR #JNU"
88,2020-06-05 17:54:16+00:00,NewsJ1964,"Question to #HypocriteLobby 

If Delhi was ruled by BJP govt instead of anarchist #ArvindKejriwal and was reporting current #Corona numbers, would you open #Delhi? 

Or opening is ruse to restart #ShaheenBagh, anti #CAA agitations? @PMOIndia @HMOIndia 

#TukdeTukdeGang"
89,2020-06-05 15:57:04+00:00,OFC_AIMIMBIHAR,"We demand immediate release of #safoorazargar 
She is pregnant.@KapilMishra_IND @ianuragthakur #ParveshVerma r still roaming free.@DelhiPolice r arresting those who were protesting in a democratic way against #CAA
#ReleaseSafooraZargar 
@aimim_national @asadowaisi @AdityaMenon22"
90,2020-06-05 15:44:11+00:00,madhurgupta121,"It is produced by @thetanmay @AllIndiaBakchod team whose team openly supports incident like #ShaheenBagh and oppose #CAA #NRC @ZEECorporate on one hand exposes such ppl via @ZeeNews
And on other hand it's promoting their film on @ZEE5India Paisa badi chiz h #ChintuKaBirthday"
91,2020-06-05 13:06:25+00:00,muhib_u_khan,"She is pregnant for 21 weeks.

She hasn't committed any crime.

She protest against #CAA.

Constitution allows it to everyone.

 Release her.  #SafooraOurSister"
92,2020-06-05 12:29:40+00:00,baconbiriyani,"People blaming Prime Minister for not locking down the nation at the correct time. And they don’t know themselves that why is this happening?Bro! This is happening because you guys chose to move out  and to celebrate your festival amid lockdown so please shut up.
#CAA #NRC"
93,2020-06-05 12:29:03+00:00,SKsyedkashif,"#SafooraOurSister
Release her.
She is pregnant for 21 weeks.
She hasn't committed any crime.
She staged the protest against #CAA. Constitution allows it to everyone."
94,2020-06-05 12:27:05+00:00,PauletteSteeves,"This is a committee I am very happy to be a part of.

""Welcome to the Indigenous Issues committee for the Canadian Archaeological Association""
#CAA #SAA #Archaeology #Indigenousarchaeology"
95,2020-06-05 11:12:44+00:00,arunpudur,"On 12 Dec 2019 @rashtrapatibhvn signed off on #CAA almost six mths

They said 200M 🇮🇳 Muslims would lose citizenship

Then #ShaheenBagh followed by #DelhiRiot2020 &amp; tried to ruin 🇮🇳 name

So how many millions are in detention camps? 

Pls, tag all ’activists.’ who spread this lie"
96,2020-06-05 10:12:27+00:00,bengalourway,"Good job speaking up against a racist legislation, Chandra Kumar Bose. Bengal is proud of you! @Chandrakbose #CAA"
97,2020-06-05 09:57:07+00:00,sirajnoorani,#DelhiHC says it will hear next week pleas related to violence during #JamiaMilliaIslamia protests against #CAA in December last year. (PTI)
98,2020-06-05 09:55:52+00:00,TOIDelhi,#DelhiHC says it will hear next week pleas related to violence during #JamiaMilliaIslamia protests against #CAA in December last year. (PTI)
99,2020-06-05 09:55:14+00:00,TirangaBhaiya,"Seeing the visuals of riots&amp;looting in #USA ,I respect the peaceful protesters of #shaheenbagh even more ,we were raising voice for equality while maintaining social harmony.
Unlike USA, we had to face police brutality during the protests but it didn't deter us.
#CAAProtest
#NRC"
100,2020-06-05 09:21:50+00:00,AkbarKidwai,"Seeing the visuals of riots&amp;looting in #USA ,I respect the peaceful protesters of #shaheenbagh even more ,we were raising voice for equality while maintaining social harmony.
Unlike USA, we had to face police brutality during the protests but it didn't deter us.
#CAAProtest
#NRC"
101,2020-06-05 09:14:00+00:00,FitnessBaeZim,My friends on #NRC please check your notifications. We have a #running challenge coming up🏃🏾‍♀️
102,2020-06-05 07:18:27+00:00,rajat_sharma,"Folks tweeting for #SafooraZargar and other activists should understand that this bully Govt has a bitter pill to swallow. As the #CAA is almost dead, the hubris can only be served by hounding the protesters."
103,2020-06-05 07:14:48+00:00,slmehra,#ChinaIndiaFaceoff No one is questioning how did China intrusion take place with a CDS in Office ( who was so quick in expressing his displeasure over young men &amp; women protesting against #CAA #NRC ) &amp; Super NSA  in saddle for the last 6 yrs +.
104,2020-06-05 07:00:22+00:00,sumonseng,"অসমিয়া নেতা বিট্টু সোনোয়াল কে NIA গ্রেপ্তার করেছিল কারণ তারা অসম এ  CAA র বিরুদ্ধে প্রতিবাদ করেছিল। 
Bittu Sonwal of Assam was arrested by NIA &amp; have told that he used the word  Comrade &amp; Red Salute in Facebook &amp; he used to read Communist Manifesto &amp; was an anti #CAA activist."
105,2020-06-05 04:43:58+00:00,JoonSheetal,"Country with most Corona damage turns rogue with one racist inccident forgetting all fear. 
Here we have sword of communal Law hung over us &amp; Media is expecting nothing to be back.
Lockdown didn't wash away #CAA. It's still in place so as protest against it. #ShaheenBaghZindaHai"
106,2020-06-05 04:06:35+00:00,Mumtaz_Skims,"#safoorazargar 's judicial custody has been extended till 25th June.
A pregnant woman is in jail because she protested against discriminatory law 
#CAA.
Is this women's empowerment?
Release all the anti #CAA_NRC_NPR protestors.
#ReleaseSafooraZarger 
#ReleaseSafooraZarger"
107,2020-06-05 03:15:19+00:00,NehaBhagat_jk,"#safoorazargar 's judicial custody has been extended till 25th June.
A pregnant woman is in jail because she protested against discriminatory law 
#CAA .
Is this women's empowerment?
Release all the anti #CAA_NRC_NPR protestors.
#ReleaseSafooraZarger 
#ReleaseSafooraZarger"
108,2020-06-05 03:14:07+00:00,WAYENDABAQCOOLN,Just realized you can add runs on #NRC 👎🏾👎🏾
109,2020-06-05 01:40:27+00:00,AsifRat75927529,"A pregnant elephant died today, and the whole nation is crying... While a pregnant girl is locked up in Tihar to die, but no one has the heart or courage to speak up 
Shame  on us  
She was arrested far participating in anti #CAA protest"
110,2020-06-04 19:40:44+00:00,AjmalKhanINC,"Since last 10 April #safoorazargar a 21 week pregnant lady &amp; protesters like thousands of us in against of #NRC/#CAA_NRC_NPR is in jail. 

Govt dnt have guts to arrest main culprit #KapilMishra, BJP leader 4 provoking ppls in #DelhiRiots 

Past it on....

#ReleaseSafooraZargar"
111,2020-06-04 19:28:25+00:00,riturajuna74,"As there are calls for violent protest in bharat like USA,this make a strong argument why #NRC is most imp. to save soul of bharat.Get #NRC done with iron rod.
Time for political correctness and secularism is over if Hindus have to survive and strong Hindu org. is need of hour."
112,2020-06-04 15:35:17+00:00,shadman_sarfraz,"Safoora Zargar is a muslim.
She peacefully protested against #CAA. Her judicial custody has been extended till 25th of June. 
Those who showered bullets on the protesters are roaming free

#ReleaseSafooraZargar"
